iter	RMSE
0	876.8910708
1	855.949925
2	836.5290081
3	818.4385616
4	801.4703447
5	785.409887
6	769.6374037
7	755.0037902
8	741.0218922
9	727.0580411
10	715.0439493
11	703.939631
12	693.1736971
13	683.2314503
14	673.7687116
15	664.9798201
16	656.7898592
17	648.0222643
18	640.4465819
19	633.3595131
20	626.3129709
21	620.3095108
22	613.6439248
23	607.991409
24	602.5088411
25	597.9243229
26	593.2143292
27	588.864869
28	584.9190721
29	580.9677722
30	577.4797996
31	574.0977592
32	570.7376824
33	567.5198251
34	564.4415243
35	561.7849122
36	559.2617639
37	556.8492281
38	555.0573397
39	552.3570419
40	550.0038722
41	547.9317538
42	545.7439866
43	543.8152719
44	541.9078823
45	540.1742762
46	538.561577
47	536.8831345
48	535.3410056
49	533.354317
50	531.9179985
51	530.2728568
52	528.3837677
53	527.1334027
54	525.922615
55	524.6282405
56	523.5399924
57	522.4476911
58	521.3650703
59	520.0067166
60	518.9708455
61	517.632895
62	516.7742533
63	515.8838054
64	514.8235266
65	514.005816
66	513.2247771
67	512.1908448
68	511.0093048
69	509.5216607
70	507.5730272
71	506.5890564
72	505.9356437
73	504.970617
74	503.5749493
75	502.3039029
76	501.5209358
77	500.7335454
78	499.9956163
79	499.2040907
80	498.361359
81	497.7196183
82	497.0243555
83	496.1208464
84	495.1599525
85	494.3918107
86	493.5363823
87	492.146219
88	491.480157
89	490.2573621
90	489.1318844
91	488.5236402
92	487.5269788
93	486.8463121
94	486.2442617
95	485.190011
96	484.4648649
97	483.8455291
98	482.9741463
99	481.8756547
100	480.8216587
101	479.8991595
102	479.4766686
103	478.8341175
104	477.5525915
105	476.8871201
106	476.3905758
107	475.9278367
108	475.1238172
109	474.322773
110	473.9225623
111	473.5823982
112	473.2960511
113	472.785721
114	472.3449511
115	471.1022727
116	470.4682453
117	469.145313
118	468.3889286
119	467.899992
120	467.1173964
121	466.7521669
122	466.2325063
123	465.648643
124	465.6369272
125	465.2568303
126	464.7208152
127	464.1700015
128	463.5722896
129	462.9126535
130	462.3627133
131	461.9086375
132	461.5370352
133	461.2881387
134	460.5104454
135	460.2931992
136	459.7585457
137	459.5048489
138	458.2101739
139	456.913497
140	456.0925666
141	455.6772454
142	455.5080418
143	455.1401522
144	454.6982862
145	454.2777495
146	453.638817
147	453.4271131
148	452.9280911
149	452.5148416
150	451.8529188
151	451.2382633
152	450.7306869
153	449.9364141
154	449.198184
155	448.8812807
156	448.4151798
157	448.1702812
158	447.6371038
159	447.1458738
160	446.4516965
161	446.1587199
162	445.9365221
163	445.7714604
164	445.278062
165	444.9481902
166	444.0492438
167	443.6750754
168	443.5231565
169	443.2129812
170	442.6824595
171	442.112171
172	441.2973643
173	441.0525474
174	440.8266609
175	440.6772115
176	440.4029453
177	440.1418296
178	439.9097366
179	439.5674503
180	439.2671372
181	438.9936782
182	438.8956018
183	438.6120734
184	438.3005643
185	438.2168689
186	437.8516055
187	437.2517358
188	436.9798446
189	436.5460312
190	436.302514
191	436.0121549
192	435.7481813
193	435.3817308
194	435.0722594
195	434.761107
196	434.3672715
197	433.9264967
198	433.7193117
199	433.3377886
200	433.3201067
201	433.1850735
202	432.7740321
203	432.4447835
204	432.2453071
205	432.0900625
206	431.7157948
207	431.2946172
208	431.0608763
209	431.0364659
210	430.7905087
211	430.2810129
212	430.0792435
213	429.6532561
214	429.4160718
215	429.0737412
216	428.8767994
217	428.7203807
