iter	Passed	Remaining
0	107	107472
1	171	85764
2	266	88600
3	335	83598
4	464	92343
5	587	97290
6	650	92220
7	712	88370
8	809	89083
9	897	88841
10	981	88254
11	1049	86396
12	1122	85239
13	1178	83023
14	1238	81302
15	1300	79976
16	1364	78890
17	1405	76667
18	1465	75648
19	1510	74001
20	1564	72955
21	1615	71809
22	1650	70113
23	1693	68861
24	1740	67871
25	1823	68321
26	1879	67739
27	1936	67223
28	1979	66283
29	2024	65469
30	2071	64759
31	2125	64308
32	2154	63141
33	2210	62800
34	2243	61853
35	2299	61565
36	2333	60739
37	2379	60227
38	2434	59999
39	2490	59767
40	2526	59099
41	2580	58857
42	2633	58602
43	2681	58255
44	2737	58104
45	2794	57947
46	2828	57347
47	2888	57288
48	2950	57257
49	3004	57080
50	3060	56943
51	3104	56596
52	3161	56485
53	3220	56422
54	3281	56380
55	3334	56211
56	3390	56095
57	3424	55624
58	3494	55730
59	3546	55569
60	3605	55496
61	3654	55288
62	3716	55278
63	3769	55122
64	3823	54999
65	3857	54592
66	3916	54535
67	3983	54593
68	4037	54479
69	4088	54315
70	4123	53947
71	4182	53909
72	4247	53937
73	4297	53774
74	4347	53618
75	4404	53553
76	4463	53509
77	4521	53444
78	4565	53230
79	4597	52872
80	4657	52843
81	4729	52947
82	4781	52829
83	4834	52713
84	4883	52573
85	4949	52604
86	4999	52469
87	5053	52371
88	5107	52279
89	5156	52134
90	5216	52109
91	5266	51973
92	5324	51930
93	5389	51945
94	5455	51968
95	5515	51937
96	5581	51955
97	5641	51925
98	5700	51882
99	5755	51800
100	5797	51601
101	5850	51508
102	5914	51509
103	5981	51530
104	6034	51438
105	6093	51392
106	6166	51465
107	6228	51445
108	6287	51391
109	6341	51306
110	6394	51209
111	6463	51249
112	6521	51193
113	6584	51172
114	6621	50959
115	6674	50862
116	6740	50867
117	6798	50815
118	6854	50747
119	6897	50583
120	6954	50519
121	7009	50443
122	7071	50419
123	7127	50349
124	7142	49999
125	7205	49977
126	7257	49886
127	7313	49826
128	7367	49741
129	7414	49619
130	7479	49613
131	7532	49531
132	7591	49490
133	7640	49377
134	7703	49358
135	7751	49243
136	7808	49188
137	7869	49158
138	7916	49039
139	7973	48981
140	8026	48897
141	8078	48815
142	8124	48687
143	8174	48595
144	8239	48585
145	8289	48489
146	8343	48414
147	8397	48343
148	8461	48329
149	8495	48142
150	8552	48085
151	8624	48114
152	8692	48121
153	8747	48054
154	8805	48006
155	8855	47908
156	8908	47832
157	8973	47823
158	9030	47766
159	9086	47705
160	9139	47626
161	9205	47619
162	9266	47584
163	9321	47517
164	9395	47546
165	9486	47660
166	9552	47645
167	9610	47597
168	9662	47512
169	9733	47523
170	9793	47480
171	9848	47409
172	9909	47368
173	9971	47337
174	10028	47278
175	10091	47247
176	10163	47258
177	10197	47089
178	10262	47071
179	10306	46952
180	10372	46935
181	10422	46845
182	10488	46824
183	10553	46800
184	10614	46762
185	10693	46796
186	10738	46688
187	10800	46649
188	10852	46566
189	10918	46547
190	11015	46656
191	11081	46633
192	11142	46590
193	11213	46588
194	11291	46614
195	11366	46623
196	11451	46679
197	11524	46679
198	11606	46717
199	11676	46704
200	11731	46632
201	11788	46571
202	11843	46498
203	11890	46396
204	11949	46340
205	12015	46313
206	12084	46292
207	12183	46391
208	12277	46466
209	12339	46420
210	12404	46384
211	12460	46314
212	12519	46256
213	12579	46203
214	12644	46166
215	12715	46152
216	12789	46146
217	12849	46093
218	12907	46030
219	12994	46072
220	13052	46009
221	13109	45943
222	13180	45925
223	13237	45858
224	13300	45813
225	13359	45754
226	13390	45597
227	13449	45539
228	13502	45458
229	13554	45376
230	13604	45288
231	13668	45248
232	13746	45250
233	13806	45195
234	13847	45076
235	13913	45042
236	13979	45004
237	14042	44959
238	14111	44931
239	14179	44902
240	14252	44887
241	14277	44719
242	14336	44659
243	14393	44597
244	14457	44551
245	14510	44475
246	14553	44368
247	14608	44298
248	14671	44251
249	14726	44180
250	14782	44112
251	14839	44047
252	14896	43982
253	14961	43942
254	15021	43887
255	15087	43848
256	15110	43686
257	15157	43591
258	15215	43531
259	15266	43452
260	15329	43403
261	15378	43318
262	15444	43279
263	15499	43212
264	15573	43195
265	15614	43086
266	15670	43021
267	15735	42979
268	15790	42908
269	15841	42829
270	15888	42739
271	15947	42683
272	15982	42562
273	16041	42505
274	16101	42450
275	16155	42378
276	16208	42305
277	16262	42235
278	16312	42153
279	16363	42076
280	16421	42017
281	16486	41975
282	16540	41906
283	16589	41825
284	16644	41757
285	16709	41714
286	16763	41646
287	16820	41584
288	16873	41513
289	16929	41449
290	16987	41387
291	17039	41314
292	17091	41242
293	17148	41180
294	17209	41128
295	17262	41056
296	17315	40984
297	17363	40904
298	17430	40864
299	17488	40805
300	17546	40746
301	17600	40680
302	17657	40617
303	17714	40557
304	17758	40465
305	17814	40403
306	17865	40329
307	17934	40295
308	17984	40216
309	18038	40150
310	18094	40086
311	18146	40014
312	18210	39969
313	18263	39900
314	18300	39796
315	18358	39737
316	18412	39670
317	18465	39601
318	18516	39528
319	18571	39464
320	18626	39399
321	18684	39341
322	18739	39277
323	18794	39213
324	18850	39151
325	18905	39086
326	18956	39014
327	19011	38950
328	19068	38890
329	19125	38829
330	19183	38773
331	19240	38711
332	19305	38668
333	19356	38597
334	19423	38556
335	19477	38491
336	19501	38366
337	19552	38295
338	19612	38240
339	19670	38184
340	19731	38131
341	19793	38081
342	19864	38050
343	19939	38023
344	20003	37978
345	20036	37872
346	20103	37831
347	20151	37755
348	20207	37693
349	20259	37625
350	20316	37564
351	20364	37488
352	20418	37425
353	20475	37364
354	20526	37295
355	20580	37230
356	20641	37177
357	20699	37120
358	20762	37071
359	20831	37034
360	20873	36947
361	20929	36887
362	20984	36823
363	21042	36767
364	21118	36740
365	21183	36695
366	21241	36637
367	21280	36547
368	21337	36487
369	21397	36434
370	21446	36361
371	21503	36300
372	21560	36241
373	21629	36203
374	21684	36140
375	21729	36060
376	21785	36001
377	21847	35950
378	21896	35878
379	21955	35822
380	21993	35731
381	22046	35666
382	22098	35600
383	22155	35541
384	22193	35451
385	22225	35354
386	22284	35297
387	22349	35253
388	22428	35227
389	22506	35202
390	22574	35160
391	22634	35106
392	22697	35056
393	22772	35025
394	22836	34977
395	22910	34944
396	22973	34894
397	23040	34849
398	23103	34799
399	23162	34743
400	23231	34702
401	23261	34602
402	23323	34551
403	23381	34493
404	23447	34447
405	23527	34422
406	23600	34385
407	23721	34419
408	23771	34348
409	23829	34291
410	23850	34180
411	23912	34127
412	23976	34078
413	24035	34021
414	24095	33966
415	24157	33913
416	24245	33897
417	24310	33848
418	24372	33795
419	24444	33757
420	24504	33701
421	24561	33641
422	24625	33591
423	24700	33555
424	24767	33509
425	24827	33452
426	24913	33431
427	24966	33366
428	25028	33312
429	25090	33259
430	25165	33223
431	25232	33175
432	25293	33120
433	25313	33012
434	25334	32906
435	25397	32853
436	25476	32821
437	25544	32776
438	25592	32704
439	25657	32654
440	25725	32609
441	25785	32552
442	25846	32498
443	25911	32448
444	25982	32405
445	25997	32293
446	26068	32250
447	26118	32181
448	26200	32152
449	26264	32101
450	26318	32037
451	26378	31980
452	26448	31936
453	26504	31875
454	26565	31820
455	26631	31770
456	26717	31745
457	26789	31702
458	26861	31660
459	26926	31609
460	26985	31550
461	27020	31465
462	27075	31403
463	27123	31332
464	27187	31279
465	27273	31253
466	27337	31201
467	27448	31202
468	27512	31150
469	27576	31097
470	27632	31035
471	27693	30978
472	27749	30917
473	27766	30812
474	27846	30777
475	27911	30726
476	27972	30669
477	28031	30611
478	28102	30567
479	28171	30519
480	28244	30475
481	28307	30421
482	28366	30362
483	28447	30328
484	28509	30273
485	28565	30211
486	28636	30165
487	28713	30125
488	28777	30072
489	28839	30016
490	28902	29961
491	28966	29908
492	29027	29851
493	29131	29839
494	29197	29787
495	29263	29735
496	29324	29678
497	29364	29600
498	29431	29549
499	29498	29498
500	29565	29447
501	29645	29408
502	29695	29341
503	29760	29288
504	29815	29224
505	29874	29166
506	29923	29097
507	30009	29064
508	30065	29002
509	30118	28937
510	30168	28869
511	30224	28807
512	30277	28742
513	30343	28690
514	30419	28647
515	30525	28632
516	30612	28599
517	30676	28544
518	30738	28488
519	30794	28425
520	30856	28369
521	30908	28303
522	30972	28248
523	31030	28188
524	31093	28132
525	31146	28067
526	31208	28010
527	31262	27946
528	31325	27890
529	31409	27853
530	31472	27797
531	31530	27737
532	31585	27674
533	31632	27604
534	31693	27546
535	31752	27487
536	31794	27413
537	31849	27349
538	31890	27275
539	31936	27204
540	31990	27141
541	32036	27071
542	32089	27007
543	32145	26945
544	32211	26892
545	32265	26828
546	32318	26764
547	32358	26689
548	32414	26628
549	32466	26563
550	32523	26502
551	32581	26442
552	32638	26381
553	32702	26327
554	32758	26265
555	32796	26189
556	32851	26128
557	32918	26075
558	33014	26045
559	33102	26008
560	33216	25993
561	33264	25925
562	33327	25868
563	33362	25791
564	33428	25737
565	33477	25669
566	33522	25600
567	33570	25532
568	33625	25470
569	33680	25408
570	33729	25341
571	33797	25288
572	33857	25230
573	33930	25181
574	33981	25116
575	34034	25053
576	34095	24995
577	34142	24927
578	34191	24861
579	34224	24783
580	34279	24721
581	34334	24659
582	34398	24604
583	34456	24544
584	34517	24486
585	34575	24427
586	34645	24376
587	34721	24328
588	34794	24279
589	34874	24234
590	34933	24175
591	34992	24116
592	35047	24054
593	35089	23983
594	35139	23918
595	35197	23858
596	35246	23792
597	35302	23731
598	35348	23664
599	35399	23599
600	35458	23540
601	35520	23483
602	35588	23430
603	35650	23373
604	35714	23318
605	35788	23268
606	35850	23211
607	35923	23161
608	35977	23098
609	36028	23034
610	36097	22981
611	36140	22912
612	36200	22854
613	36276	22805
614	36326	22741
615	36379	22678
616	36428	22613
617	36476	22546
618	36529	22484
619	36586	22424
620	36648	22366
621	36703	22305
622	36760	22245
623	36823	22188
624	36875	22125
625	36923	22059
626	36987	22003
627	37036	21939
628	37091	21877
629	37144	21814
630	37207	21758
631	37275	21704
632	37324	21640
633	37372	21574
634	37430	21515
635	37481	21451
636	37537	21390
637	37610	21339
638	37687	21291
639	37740	21229
640	37794	21167
641	37845	21104
642	37902	21044
643	37971	20990
644	38026	20929
645	38080	20867
646	38145	20811
647	38202	20752
648	38247	20685
649	38314	20630
650	38361	20565
651	38416	20504
652	38467	20441
653	38518	20378
654	38571	20316
655	38635	20259
656	38693	20200
657	38761	20146
658	38821	20088
659	38880	20029
660	38943	19972
661	38995	19910
662	39045	19846
663	39102	19786
664	39177	19735
665	39245	19681
666	39310	19625
667	39367	19565
668	39437	19512
669	39483	19446
670	39556	19395
671	39608	19332
672	39675	19277
673	39750	19226
674	39805	19165
675	39853	19101
676	39910	19041
677	39967	18981
678	40020	18920
679	40076	18859
680	40127	18797
681	40188	18738
682	40246	18679
683	40317	18626
684	40365	18562
685	40421	18501
686	40473	18439
687	40532	18381
688	40589	18321
689	40645	18261
690	40705	18202
691	40758	18140
692	40803	18076
693	40863	18017
694	40931	17962
695	40985	17901
696	41040	17840
697	41093	17779
698	41143	17716
699	41188	17652
700	41239	17590
701	41301	17532
702	41352	17470
703	41408	17410
704	41456	17346
705	41522	17291
706	41582	17233
707	41637	17172
708	41707	17118
709	41776	17063
710	41826	17001
711	41883	16941
712	41959	16889
713	42011	16828
714	42064	16766
715	42119	16706
716	42178	16647
717	42250	16594
718	42306	16534
719	42355	16471
720	42415	16413
721	42475	16354
722	42560	16305
723	42627	16250
724	42692	16193
725	42741	16131
726	42798	16071
727	42859	16013
728	42922	15956
729	42979	15896
730	43025	15832
731	43088	15775
732	43136	15712
733	43198	15655
734	43259	15596
735	43305	15533
736	43351	15469
737	43405	15409
738	43457	15348
739	43537	15296
740	43593	15237
741	43637	15173
742	43697	15114
743	43740	15050
744	43791	14989
745	43844	14928
746	43888	14864
747	43949	14806
748	44005	14746
749	44058	14686
750	44107	14624
751	44172	14567
752	44222	14505
753	44287	14449
754	44341	14389
755	44395	14328
756	44452	14269
757	44540	14220
758	44589	14158
759	44691	14113
760	44775	14062
761	44869	14014
762	44927	13955
763	44978	13893
764	45038	13835
765	45090	13774
766	45160	13718
767	45218	13659
768	45262	13596
769	45312	13534
770	45377	13477
771	45430	13417
772	45485	13357
773	45527	13293
774	45585	13234
775	45642	13175
776	45690	13113
777	45737	13051
778	45792	12991
779	45834	12927
780	45909	12873
781	45957	12811
782	46004	12749
783	46051	12687
784	46102	12626
785	46160	12567
786	46205	12505
787	46247	12442
788	46307	12383
789	46348	12320
790	46396	12258
791	46449	12198
792	46503	12138
793	46565	12081
794	46616	12020
795	46698	11967
796	46749	11907
797	46819	11851
798	46902	11798
799	46984	11746
800	47026	11683
801	47080	11623
802	47139	11564
803	47190	11504
804	47204	11434
805	47259	11375
806	47321	11317
807	47390	11261
808	47403	11191
809	47462	11133
810	47505	11070
811	47556	11010
812	47606	10950
813	47668	10892
814	47723	10832
815	47800	10778
816	47858	10719
817	47934	10665
818	47986	10604
819	48052	10548
820	48130	10493
821	48187	10434
822	48239	10374
823	48306	10317
824	48383	10263
825	48492	10215
826	48574	10161
827	48643	10104
828	48699	10045
829	48755	9985
830	48808	9926
831	48864	9866
832	48904	9804
833	48960	9745
834	49023	9687
835	49078	9627
836	49137	9569
837	49188	9509
838	49238	9448
839	49292	9389
840	49345	9329
841	49402	9270
842	49452	9210
843	49503	9149
844	49553	9089
845	49605	9029
846	49675	8973
847	49723	8912
848	49775	8852
849	49844	8796
850	49899	8736
851	49950	8676
852	49993	8615
853	50042	8555
854	50053	8488
855	50103	8428
856	50169	8371
857	50253	8317
858	50324	8260
859	50404	8205
860	50484	8150
861	50537	8090
862	50607	8033
863	50665	7975
864	50705	7913
865	50761	7854
866	50815	7795
867	50871	7736
868	50934	7678
869	51000	7620
870	51059	7562
871	51136	7506
872	51196	7447
873	51264	7390
874	51328	7332
875	51401	7275
876	51478	7219
877	51533	7160
878	51587	7101
879	51630	7040
880	51685	6981
881	51735	6921
882	51787	6861
883	51849	6803
884	51905	6744
885	51962	6685
886	52004	6625
887	52057	6565
888	52119	6507
889	52176	6448
890	52235	6390
891	52293	6331
892	52323	6269
893	52410	6214
894	52487	6157
895	52584	6103
896	52644	6045
897	52704	5986
898	52754	5926
899	52812	5868
900	52870	5809
901	52963	5754
902	53026	5696
903	53076	5636
904	53137	5578
905	53198	5519
906	53257	5460
907	53311	5401
908	53346	5340
909	53397	5281
910	53454	5222
